No,PMID,title,year,journal,n_randomised,random1.1,conceal1.2,baselinediff1.3,rob1,interven,interven_type,blind_all,ptaware2.1,phyaware2.2,n_analysed,n_short_randomised,n_long_randomised,n_adherent_short,n_adherent_long,shortXlong,longXshort,short_protocol,long_protocol,short_actual,long_actual,intdev2.3,intdevoutcome2.4,intdevbalance2.5,pri_analysis_population,sec_analysis_pop,ana2.6,impact2.7,rob2.1,rob2.2,rob2,missing3.1,missingbias3.2,missingdepend3.3,missingdependlikely3.4,rob3,primary_outcome,fu_period_note,outcomemeasure4.1,outcomediffer4.2,assessaware4.3,assessinfluence4.4,assessinfluencelikely4.5,rob4,anaplan5.1,multioutcome5.2,multiana5.3,rob5,rob_overall,hypothesis,margin,pri_analysis_population,sec_analysis_pop,diffshown_ITT,diffshown_PP,arm_clinicalsuperior,outcome_measure,adhere_monitor,excl_prianalysis_reason,funding,diagnosis,abx_specific,abx_short,abx_long,culture_directed_insome,fu_period,fu_period_note,outcome_clinical,outcome_microb_clinical,outcome_microb_colonising,abx_se,outcome_economic,per_priclinicaloutcome_short,per_priclinicaloutcome_long,per_mortality,note
78,21507143,Procalcitonin guidance for reduction of antibiotic use in low-risk outpatients with community-acquired pneumonia,2011,Respirology,172,Y,Y,Y,Low risk,"The control group received antibiotics according to current guidelines. In the PCT group, antibiotic treatment was based on PCT levels as follows: <0.1 µg/L, strongly discouraged; ≤0.25 µg/L, discouraged; >0.25 µg/L, encouraged.",inflammatory markers,0,Y,Y,162,86,86,77,79,Not reported,Not reported,NA,NA,5,7,NI,NA,NA,mITT,PP,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,total antibiotic use and duration of antibiotic treatment,"At 4-week follow up, all patients had survived and laboratory and clinical outcomes were similar in the two groups",N,PN,Y,PN,NA,Low risk,NI,N,NI,Some concerns,High risk,difference for duration of antibiotics,NA,mITT,PP,0,0,NA,absolute difference,Medical chart,"loss to follow up, withdrew consent",investigator initiated,clinical syndrome,,various,various,0,28,"At 4-week follow up, all patients had survived and laboratory and clinical outcomes were similar in the two groups",1,0,0,0,0,31,28,0,
79,20185423,Procalcitonin guidance and reduction of antibiotic use in acute respiratory tract infection,2010,Eur Respir J,571,Y,Y,Y,Low risk,comparing standard care with PCT-guided antimicrobial treatment in 550 patients,inflammatory markers,0,Y,Y,550,not reported,not reported,225,275,Not reported,Not reported,NA,NA,8,8,NI,NA,NA,mITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,"number of days with impairment
 during everyday life and/or leisure activities due to the
 respiratory tract infection within the first 14 days according to
 self-assessment",,N,PN,Y,PY,PN,Some concerns,NI,PN,NI,High risk,High risk,non-inferiority,not reported,mITT,none,0,NA,NA,absolute difference,Medical chart,protocol deviation,Not reported,clinical syndrome,,various,various,0,28,,1,0,0,1,0,28,32,0,"In the PCT group, the advice following PCT determination was not to give antibiotics in any patient; however, the advice was overruled in 36 (13.1%)
 patients. Up to days 14 and 28, an additional nine and five patients in the PCT group received antibiotics in the group with an initial decision not to treat, and eight and one patient in the group not treated following recommendation after PCT measurement, a
 total of 59 (21.5%) patients on antibiotics as opposed to 101 (36.7%) in the control group (p50.0005) (tables 2 and 3). Only one out of two patients in the control group with a PCT level of <0.25 ng?mL-1 received an antibiotic. Thus, in spite of overruling, the PCT strategy permitted at least for a 41.6% reduction in antibiotic use."
82,20097417,Use of procalcitonin to reduce patients' exposure to antibiotics in intensive care units (PRORATA trial): a multicentre randomised controlled trial,2010,Lancet,316,Y,Y,Y,Low risk,antibiotics were started or stopped based on predefined cut-off ranges of procalcitonin concentrations; the control group received antibiotics according to present guidelines,inflammatory markers,0,Y,Y,310,311,319,149,178,not reported,not reported,NA,NA,7,10,NI,NA,NA,mITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,mortality at days 28 and 60 (non-inferiority analysis),mortality at days 28 and 60 (non-inferiority analysis),N,PN,Y,PN,NA,Low risk,Y,N,N,Low risk,Some concerns,non-inferiority,10,mITT,none,0,0,NA,absolute difference,medical chart,protocol deviation,investigator initiated,clinical syndrome,,various,various,1,60,mortality at days 28 and 60 (non-inferiority analysis),1,0,0,0,hospital los,30,26,28,Very high non-adherence
88,19416298,Antibiotic treatment interruption of suspected lower respiratory tract infections based on a single procalcitonin measurement at hospital admission--a randomized trial,2009,Clin Microbiol Infect,223,Y,Y,Y,Low risk,"The cut-off point for recommending antibiotic
 treatment was PCT ‡0.25 lg/L. Physicians could overrule treatment guidelines",inflammatory markers,0,Y,Y,210,110,113,61,105,42,2,NA,NA,5,7,NI,NA,NA,mITT,none,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,"antibiotic use (defined as days of
 antibiotic treatment during hospitalization) and length of
 hospital stay (one night spent in the hospital was counted as
 2 days of admission)",,N,N,Y,PN,NA,Low risk,NI,N,NI,Some concerns,High risk,superiority,NA,mITT,none,0,NA,NA,absolute difference,medical chart,"withdrew consent, protocol deviation",investigator initiated,clinical syndrome,,various,various,0,during hospitalisation,,1,0,0,0,hospital los,7,5,1,Need for ICU care taken as clinical outcome
91,19797133,Procalcitonin for reduced antibiotic exposure in ventilator-associated pneumonia: a randomised study,2009,Eur Respir J,101,Y,Y,Y,Low risk,an antibiotic discontinuation strategy according to guidelines (control group) or to serum procalcitonin concentrations (procalcitonin group) with an antibiotic regimen selected by the treating physician,inflammatory markers,0,Y,Y,101,51,50,not reported,not reported,not reported,not reported,NA,NA,not reported,not reported,NI,NA,NA,ITT,none,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,number of antibiotic-free days alive assessed 28 days after enrollment in the study,28 days after VAP onset,N,N,Y,PN,NA,Low risk,NI,N,NI,Some concerns,Some concerns,superiority,NA,ITT,none,0,NA,NA,absolute difference,not reported,NA,Brahms AG,"clinical syndrome, culture, laboratory tests",,various,various,1,28,28 days after VAP onset,1,1,0,0,hospital and ICU los,10,14,20,Clinical outcome taken as VAP-related clinical deterioration days 1-28
92,19323633,"Prospective, randomized trial of 10 days versus 30 days of antimicrobial treatment, including a short-term course of parenteral therapy, for childhood septic arthritis",2009,CID,130,Y,Y,Y,Low risk,culture-positive septic arthritis were randomized to receive clindamycin or a first-generation cephalosporin for 10 days or 30 days (intravenously for the first 2-4 days). The number of surgical procedures was kept to a minimum. Illness was monitored with preset criteria. Antimicrobial therapy was discontinued when the clinical response was good and the C-reactive protein level decreased to 20 mg/L.,arbitrary durations,0,Y,Y,130,63,67,not reported,67,not reported,0,10,30,10,30,NI,NA,NA,ITT,none,N,PN,Some concerns,Some concerns,Some concerns,N,N,PY,PN,Some concerns,full recovery without need for further administration of antimicrobial therapy because of an osteoarticular indication during the 12 months after therapy,12 months after therapy,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,Some concerns,non-inferiority,15,ITT,none,0,NA,NA,absolute difference,medical chart,NA,Orion Pharma company,culture of sterile site,various,various,various,1,365,12 months after therapy,1,1,0,1,0,0,2,0,
94,18242357,"A double-blind, randomized comparison of levofloxacin 750 mg once-daily for five days with ciprofloxacin 400/500 mg twice-daily for 10 days for the treatment of complicated urinary tract infections and acute pyelonephritis",2008,Urology,1102,Y,Y,Y,Low risk,either levofloxacin 750 mg intravenously or orally once daily for 5 days or ciprofloxacin 400 mg intravenously and/or ciprofloxacin 500 mg orally twice daily for 10 days,arbitrary durations,1,N,N,1093,543,559,not reported,not reported,not reported,not reported,5,10,not reported,not reported,NA,NA,NA,mITT,ME,PY,NA,Low risk,Low risk,Low risk,N,N,PY,PY,High risk,microbiologic eradication at post-therapy (study days 15-22),study day 15-22,N,N,N,NA,NA,Low risk,NI,N,NI,Some concerns,High risk,non-inferiority,15,mITT,ME,0,0,NA,absolute difference,not reported,protocol deviation,investigator initiated,"clinical syndrome, culture, laboratory tests",,levofloxacin,ciprofloxacin,0,22,study day 15-22,1,1,0,1,0,14,19,0,"Potential limitations are that this analysis is based on a subset of subjects from a larger study and, because of different durations of therapy, the results may be biased against levofloxacin. There are limitations to this study. Patients receiving
 levofloxacin concluded therapy 5 days sooner than did patients receiving ciprofloxacin, which disadvantages the
 assessment at EOT and PT in favor of the longer-course
 regimen."
99,18096708,Use of procalcitonin to shorten antibiotic treatment duration in septic patients: a randomized trial,2008,Am J Respir Crit Care Med,79,Y,Y,Y,Low risk,"In patients randomly assigned to the intervention group, antibiotics were stopped when PCT levels had decreased 90% or more from the initial value (if clinicians agreed) but not before Day 3 (if baseline PCT levels were <1 microg/L) or Day 5 (if baseline PCT levels were >/=1 microg/L). In control patients, clinicians decided on the duration of antibiotic therapy based on empirical rules.",inflammatory markers,0,Y,Y,79,39,40,31,37,6,0,NA,NA,6,10,NI,NA,NA,ITT,PP,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,duration of antibiotic therapy for the initial infection,28 day mortality,N,N,Y,PN,NA,Low risk,NI,N,NI,Some concerns,Some concerns,difference,NA,ITT,PP,0,0,NA,absolute difference,medical chart,NA,investigator initiated,"clinical syndrome, culture, laboratory tests",,various,various,1,28,28 day mortality,1,0,0,0,0,21,20,20,28 day mortality taken as clinical outcome
101,17288699,"Role for 5-day, once-daily extended-release clarithromycin in acute bacterial exacerbation of chronic bronchitis",2007,Curr Med Res Opin,818,Y,Y,Y,Low risk,clarithromycin extended-release (ER) 1000 mg once daily for 5 days or a comparator agent – clarithromycin immediate-release (IR) 500 mg twice daily for 7 days (in North America) or telithromycin 800 mg once daily for 5 days (in France),arbitrary durations,0,Y,Y,775,388,387,353,355,not reported,not reported,5,7,not reported,not reported,NI,NA,NA,mITT,none,N,PN,Some concerns,Some concerns,Some concerns,N,N,NI,NI,High risk,clinical cure,"between days 14 and 40 for the study conducted in North America and on day 8 for
the study conducted in France). ‘Clinical response’ was classified as cure, failure, or indeterminate. ‘Clinical cure’ was defined as resolution/improvement of signs and symptoms of ABECB to pre-acute levels. ‘Clinical failure’ was defined as continuation or worsening of ABECB signs and symptoms accompanied by the need for additional antimicrobial therapy. ‘Indeterminate’ was used when evaluation was not possible.""",N,PY,NA,NA,NA,High risk,NI,PY,NI,High risk,High risk,difference,NA,mITT,none,0,NA,NA,absolute difference,not reported,Did not satisfy inclusion criteria,investigator initiated,clinical syndrome,,clarithromycin,clarithromycin,0,40,,1,1,0,0,0,10,10,0,
102,17329271,Duration of antimicrobial prophylaxis in patients undergoing hepatectomy: a prospective randomized controlled trial using flomoxef,2007,J Antimicrob Chemother,180,Y,Y,Y,Low risk,"flomoxef sodium as antimicrobial prophylaxis for 2 days (89 patients) or 5 days (91 patients), including the operation day",arbitrary durations,0,Y,Y,180,89,91,89,91,0,0,2,5,not reported,not reported,NI,NA,NA,ITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,incidence of SSI,30 days after surgery,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,Some concerns,non-inferiority,not reported,ITT,none,0,NA,NA,absolute difference,medical chart,NA,investigator initiated,NA,,flomoxef,flomoxef,0,30,30 days after surgery,1,1,0,1,hospital los,8,7,0,
104,17189096,Efficacy and safety of 3-day azithromycin versus 5-day moxifloxacin for the treatment of acute bacterial exacerbations of chronic bronchitis,2007,International Journal of Antimicrobial Agents,342,Y,Y,Y,Low risk,azithromycin (500 mg once a day (qd) for 3 days) was compared with moxifloxacin (400 mg qd for5 days) for the treatment of outpatients with AECB (forced expiratory volume in 1 s (FEV1) >35%),arbitrary durations,0,Y,Y,342,169,173,not reported,not reported,not reported,not reported,3,5,not reported,not reported,NI,NA,NA,ITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,clinical response at Days 22–26,clinical response at Days 22–26,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,Some concerns,non-inferiority,10,ITT,none,0,NA,NA,absolute difference,self reporting,NA,Pfizer Inc,clinical syndrome,,Azithromycin,moxifloxacin,0,26,clinical response at Days 22–26,1,1,0,1,0,19,19,0,More than 90% of patients in each treatment group completed therapy for the number of days specified in the protocol.
106,17514671,Randomized clinical trial of single- versus multiple-dose antimicrobial prophylaxis in gastric cancer surgery,2007,Br J Surg,490,Y,Y,Y,Low risk,single- or multiple-dose antimicrobial prophylaxis,arbitrary durations,0,Y,Y,486,246,244,not reported,not reported,not reported,not reported,1 dose,4,not reported,not reported,NI,NA,NA,mITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,SSI,6 weeks postop,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,Some concerns,non-inferiority,not reported,mITT,none,0,NA,NA,absolute difference,not reported,loss to follow up,investigator initiated,NA,,"variouscefazolin, ampicillin– sulbactam","variouscefazolin, ampicillin– sulbactam",0,42,6 weeks postop,1,1,0,0,0,10,9,0,
108,17537866,"Gemifloxacin once daily for 5 days versus 7 days for the treatment of community-acquired pneumonia: a randomized, multicentre, double-blind study",2007,J Antimicrob Chemother,512,Y,Y,Y,Low risk,320 mg of oral gemifloxacin once daily for 5 or 7 days. Over 95% of all patients in each cohort had a Fine score of ≤III,arbitrary durations,1,N,N,510,256,256,242,227,0,11,5,7,not reported,not reported,NA,NA,NA,mITT,ME,PY,NA,Low risk,Low risk,Low risk,Y,NA,NA,NA,Low risk,"clinical response (success or failure) at follow-up (visit 4, days 24–30)","clinical response (success or failure) at follow-up (visit 4, days 24–30)",N,N,N,NA,NA,Low risk,NI,N,NI,Some concerns,Some concerns,non-inferiority,10,mITT,ME,0,0,NA,absolute difference,self reporting,protocol deviation,multiple drug companies,clinical syndrome,,Gemifloxacin,Gemifloxacin,0,30,"clinical response (success or failure) at follow-up (visit 4, days 24–30)",1,1,0,1,0,5,8,0,
109,17354160,Clinical and bacteriological outcome of different doses and duration of pivmecillinam compared with placebo therapy of uncomplicated lower urinary tract infection in women: the LUTIW project,2007,Scand J Prim Health Care,855,Y,Y,Y,Low risk,"three different regimens of pivmecillinam (Selexid®): 200 mg×3×7 days, 200 mg×2×7 days or 400 mg×2×3 days or placebo (i.e. all patients were given 2 + 1+2 identical tablets each day for 7 days).",arbitrary durations,1,N,N,657,285,570,not reported,not reported,not reported,not reported,3,7,not reported,not reported,NA,NA,NA,mITT,none,N,PN,Low risk,Some concerns,Some concerns,Y,NA,NA,NA,Some concerns,symptom resolution,"Symptoms registered at inclusion, during therapy and at follow-up visits after 8–10 and 35–49 days",N,N,N,NA,NA,Low risk,NI,N,NI,Some concerns,Some concerns,difference,NA,mITT,none,1,NA,longer,absolute difference,not reported,protocol deviation,LEO Pharma,"clinical syndrome, culture, laboratory tests",,pivmecillinam,pivmecillinam,1,49,"Symptoms registered at inclusion, during therapy and at follow-up visits after 8–10 and 35–49 days",1,1,0,1,0,16,6,0,short term follow up considered for clinical outcome
110,17173219,A randomized trial of the duration of therapy with metronidazole plus or minus azithromycin for treatment of symptomatic bacterial vaginosis,2007,CID,568,Y,Y,Y,Low risk,"4-arm
 study that compared metronidazole for 7 days versus 14 days, plus or minus azithromycin on days 1 and 3",arbitrary durations,1,N,N,567,287,280,228,221,not reported,not reported,7,14,not reported,not reported,NA,NA,NA,mITT,PP,Y,NA,Low risk,Low risk,Low risk,N,N,PY,PY,High risk,"cured if the vaginal pH and whiff test results normalized and if clue cells were absent. Improvement was defined as normalization of 2 of the 3 criteria, and failure was defined as normalization of 0 or 1 of the criteria","Follow-up visits were conducted 7 days after the completion of therapy (on day 21), 21 days after the completion of therapy (days 35–40), and then monthly for an additional 2 visits.",N,N,N,NA,NA,Low risk,NI,PN,NI,Some concerns,High risk,difference,NA,mITT,PP,1,1,longer,absolute difference,self reporting,not reported,Pfizer Inc,"clinical syndrome, laboratory test",,"Azithromycin, metronidazole","Azithromycin, metronidazole",1,21,"Follow-up visits were conducted 7 days after the completion of therapy (on day 21), 21 days after the completion of therapy (days 35–40), and then monthly for an additional 2 visits.",1,0,0,1,0,55,36,0,adhrent populatiomn counted with those >80% self reported compliance reported in the paper
113,17011409,Randomized double-blind study comparing 7- and 10-day regimens of faropenem medoxomil with a 10-day cefuroxime axetil regimen for treatment of acute bacterial sinusitis,2006,Otolaryngol Head Neck Surg,1106,Y,Y,Y,Low risk,"faropenem medoxomil, 300 mg twice daily for seven or ten days, with cefuroxime axetil 250 mg twice daily for ten days in adults with acute bacterial sinusitis",arbitrary durations,1,N,N,861,366,733,295,566,0,39,7,10,not reported,not reported,NA,NA,NA,PP,ITT,N,PN,Low risk,Some concerns,Some concerns,Y,NA,NA,NA,Some concerns,clinical response at the test-of-cure visit (7-21 days after the completion of treatment),"clinical response at the test-of-cure
 visit (7-21 days after the completion of treatment)",N,N,N,NA,NA,Low risk,NI,N,NI,Some concerns,Some concerns,non-inferiority,10,PP,ITT,0,0,protocol deviation (XR normal),absolute difference,self reporting,protocol deviation,not reported,"clinical syndrome, laboratory test",,faropenem medoxomil,cefuroxime axetil,0,21,"clinical response at the test-of-cure
 visit (7-21 days after the completion of treatment)",1,0,0,1,0,20,22,0,
116,16603606,Procalcitonin guidance of antibiotic therapy in community-acquired pneumonia: a randomized trial,2006,Am J Respir Crit Care Med,302,Y,Y,Y,Low risk,"antibiotic treatment was based on serum procalcitonin concentrations as follows: strongly discouraged, less than 0.1 μg/L; discouraged, less than 0.25 μg/L; encouraged, greater than 0.25 μg/L; strongly encouraged, greater than 0.5 μg/L.",inflammatory markers,0,Y,Y,302,151,151,not reported,not reported,not reported,not reported,NA,NA,5,12,NI,NA,NA,ITT,none,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,"total antibiotic use (i.e., antibiotic prescription [percentage] and duration [patient days])","incidence density ratio of antibiotic exposure was calculated as total antibiotic exposure time divided by total follow-up time, until Week 6 (expressed as relative risk)",N,N,Y,PN,NA,Low risk,Y,N,N,Low risk,Some concerns,superiority,NA,ITT,none,0,NA,NA,absolute difference,not reported,NA,investigator initiated,clinical syndrome,,various,various,1,42,"incidence density ratio of antibiotic exposure was calculated as total antibiotic exposure time divided by total follow-up time, until Week 6 (expressed as relative risk)",1,0,0,0,"direct, indirect cost",16,18,13,outcome at follow up taken as outcome
