"","PMID","title","Publication.Year","relevent","dur_trial","reason_exclude","Comments","short_dur","long_dur","fu_period"
"725",12729423,"Duration of antibiotic therapy for early Lyme disease. A randomized, double-blind, placebo-controlled trial",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"726",12730816,"Antibiotic prophylaxis in elective thoracic surgery: cefuroxime versus cefepime",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"727",12749513,"A comparison of 5-day courses of dirithromycin and azithromycin in the treatment of acute exacerbations of chronic obstructive pulmonary disease",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"728",12802748,"Ceftriaxone compared with sodium penicillin g for treatment of severe leptospirosis",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"729",12810429,"Antibiotic treatment and long term prognosis of reactive arthritis",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"730",12847531,"Pneumonia in term neonates: laboratory studies and duration of antibiotic therapy",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"731",12856976,"Azithromycin in the treatment of cholera in children",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"732",12870368,"Oral telithromycin 800 mg once daily for 5 days versus cefuroxime axetil 500 mg twice daily for 10 days in adults with acute exacerbations of chronic bronchitis",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"733",12913766,"Linezolid versus vancomycin for treatment of resistant Gram-positive infections in children",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"734",12917897,"Nebulised anti-pseudomonal antibiotics for cystic fibrosis.",2003,0,0,"Study design (not RCT)","Review",NA,NA,NA
"735",12917916,"Prophylactic antibiotics for cystic fibrosis.",2003,0,0,"Study design (not RCT)","Review",NA,NA,NA
"736",12942708,"Efficacy of empirically prescribed amoxicillin and amoxicillin + clavulanic acid in children's reactive arthritis: a randomised trial",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"737",12959681,"Evaluation of ticarcillin/clavulanic acid versus ceftriaxone plus amikacin for fever and neutropenia in pediatric patients with leukemia and lymphoma",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"738",13678479,"Comparison of 5 days of extended-release clarithromycin versus 10 days of penicillin V for the treatment of streptococcal pharyngitis/tonsillitis: results of a multicenter, double-blind, randomized study in adolescent and adult patients",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"739",14503094,"Efficacy and tolerability of telithromycin for 5 or 10 days vs amoxicillin/clavulanic acid for 10 days in acute maxillary sinusitis",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"740",14526317,"Duration of antibiotic therapy after preterm premature rupture of fetal membranes",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"741",14570343,"Cefazolin versus cefazolin plus metronidazole for antibiotic prophylaxis at cesarean section",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"742",14583862,"Once-Weekly Dalbavancin versus Standard-of-Care Antimicrobial Regimens for Treatment of Skin and Soft-Tissue Infections",2003,0,1,"Resistance during f/u not included","Did not report resistance carriage/ in clinical isolates during follow up",NA,NA,NA
"743",14583957,"Antibiotic therapy for prophylaxis against infection of pancreatic necrosis in acute pancreatitis.",2003,0,0,"Study design (not RCT)","Review",NA,NA,NA
"744",14584770,"Assessment of nosocomial urinary tract infections in orthopaedic patients: a prospective and comparative study using two different catheters",2003,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"745",14617299,"Linezolid in the treatment of vancomycin-resistant Enterococcus faecium in solid organ transplant recipients: Report of a multicenter compassionate-use trial",2003,0,0,"Study design (not RCT)","",NA,NA,NA
"746",14625336,"Comparison of 8 vs 15 days of antibiotic therapy for ventilator-associated pneumonia in adults: a randomized trial",2003,1,1,"","Among patients who developed recurrent infections, multiresistant pathogens emerged less frequently in those who had received 8 days of antibiotics (42.1% vs 62.0% of pulmonary recurrences, P = .04).","8","15",""
"747",14656841,"Penicillin for acute sore throat in children: randomised, double blind trial",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"748",14664657,"Levofloxacin: A Review of its Use in the Treatment of Bacterial Infections in the United States",2003,0,0,"Study design (not RCT)","",NA,NA,NA
"749",14702908,"Do delayed prescriptions reduce antibiotic use in respiratory tract infections? A systematic review",2003,0,0,"Study design (not RCT)","All studies included ",NA,NA,NA
"750",14759242,"Ampicillin + sulbactam vs clindamycin +/- cephalosporin for the treatment of aspiration pneumonia and primary lung abscess",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"751",14970093,"Optimal duration of antibiotic therapy for uncomplicated urinary tract infection in older women: a double-blind randomized controlled trial",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"752",15000732,"Benzathine penicillin, metronidazole and benzyl penicillin in the treatment of tetanus: a randomized, controlled trial",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"753",15084807,"Streptococcal-A tonsillopharyngitis: a 5-day course of cefuroxime axetil versus a 10-day course of penicillin V. results depending on the children's age",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"754",15106170,"Macrolide antibiotics for cystic fibrosis.",2004,0,0,"Study design (not RCT)","",NA,NA,NA
"755",15113316,"A randomised, double-blind, double-dummy comparative study of gatifloxacin with clarithromycin in the treatment of community-acquired pneumonia",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"756",15119993,"Efficacy of 750-mg, 5-day levofloxacin in the treatment of community-acquired pneumonia caused by atypical pathogens",2004,0,0,"Study design (not RCT)","",NA,NA,NA
"757",15128726,"Improving appropriateness of antibiotic therapy: randomized trial of an intervention to foster reassessment of prescription after 3 days",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"758",15136392,"A randomized controlled trial of an antibiotic discontinuation policy for clinically suspected ventilator-associated pneumonia",2004,0,1,"Resistance during f/u not included","Subsequent infection discontinuation group 56 (37.3) conventional group 46 (32.9) 0.425 but resistance not reported",NA,NA,NA
"759",15150184,"Ertapenem versus ceftriaxone for the treatment of community-acquired pneumonia in adults: combined analysis of two multicentre randomized, double-blind studies",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"760",15150185,"Treatment of complicated urinary tract infection in adults: combined analysis of two randomized, double-blind, multicentre trials comparing ertapenem and ceftriaxone followed by appropriate oral therapy",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"761",15173031,"Impact of amoxicillin prophylaxis on the incidence, nature, and duration of bacteremia in children after intubation and dental procedures",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"762",15194131,"Gatifloxacin 400 mg as a single shot or 200 mg once daily for 3 days is as effective as ciprofloxacin 250 mg twice daily for the treatment of patients with uncomplicated urinary tract infections",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"763",15211234,"[Treatment of exacerbations of chronic obstructive pulmonary disease with pristinamycin]",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"764",15211249,"[ANTEAB: a study of early antibiotic therapy in intensive care management of acute exacerbations of chronic obstructive lung disease]",2004,0,0,"Study design (not RCT)","",NA,NA,NA
"765",15214873,"Evaluation of 5-day therapy with telithromycin, a novel ketolide antibacterial, for the treatment of tonsillopharyngitis",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"766",15235203,"Early enteral nutrition after surgical treatment of gut perforations: A prospective randomised study",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"767",15302637,"Comparison of short-course (5 days) and standard (10 days) treatment for uncomplicated cellulitis",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"768",15303633,"A randomized, double-blind study comparing 5 days oral gemifloxacin with 7 days oral levofloxacin in patients with acute exacerbation of chronic bronchitis",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"769",15303634,"Gemifloxacin once daily for 7 days compared to amoxicillin/clavulanic acid thrice daily for 10 days for the treatment of community-acquired pneumonia of suspected pneumococcal origin",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"770",15308521,"Three month treatment of reactive arthritis with azithromycin: a EULAR double blind, placebo controlled study",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"771",15328092,"Double-blind, randomized study of the efficacy and safety of oral pharmacokinetically enhanced amoxicillin-clavulanate (2,000/125 milligrams) versus those of amoxicillin-clavulanate (875/125 milligrams), both given twice daily for 7 days, in treatment of bacterial community-acquired pneumonia in adults",2004,NA,NA,NA,NA,NA,NA,NA
"772",15356779,"A prospective, randomized trial of 3 or 14 days of ciprofloxacin treatment for acute urinary tract infection in patients with spinal cord injury",2004,1,1,"","The 11 patients who experienced relapse after receiving therapy for 3 days were infected with Klebsiella pneumoniae (4 patients), E. coli (4 patients), Acinetobacter baumanii and Enterococcus faecalis (2 patients), and Enterococcus faecium (1 patient). Fo","3","14","6 weeks"
"773",15361727,"Two dosages of clarithromycin for five days, amoxicillin/clavulanate for five days or penicillin V for ten days in acute group A streptococcal tonsillopharyngitis",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"774",15365537,"Efficacy and safety of oral telithromycin once daily for 5 days versus moxifloxacin once daily for 10 days in the treatment of acute bacterial rhinosinusitis",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"775",15373886,"Impact of regular attendance by infectious disease specialists on the management of hospitalised adults with community-acquired febrile syndromes",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"776",15381595,"Pulmonary complications following major head and neck surgery with tracheostomy: A prospective, randomized, controlled trial of prophylactic antibiotics",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"777",15468362,"Doxycycline versus doxycycline and rifampin in undifferentiated spondyloarthropathy, with special reference to chlamydia-induced arthritis. A prospective, randomized 9-month comparison",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"778",15495108,"Delayed antibiotics for symptoms and complications of respiratory infections.",2004,0,0,"Study design (not RCT)","All studies included ",NA,NA,NA
"779",15495115,"Intraventricular antibiotics for bacterial meningitis in neonates.",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"780",15569557,"Comparative efficacy of amoxicillin, cefuroxime and clarithromycin in the treatment of community -acquired pneumonia in children",2003,0,1,"Resistance during f/u not included","",NA,NA,NA
"781",15598997,"Treatment of appendiceal mass: prospective, randomized clinical trial",2004,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"782",15609652,"[Feasibility of short-term antibiotic prophylaxis after pulmonary resection]",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"783",15616290,"Efficacy and safety of pharmacokinetically enhanced amoxicillin-clavulanate at 2,000/125 milligrams twice daily for 5 days versus amoxicillin-clavulanate at 875/125 milligrams twice daily for 7 days in the treatment of acute exacerbations of chronic bronchitis",2005,NA,NA,NA,NA,NA,NA,NA
"784",15668857,"Treatment with clarithromycin prior to coronary artery bypass graft surgery does not prevent subsequent cardiac events",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"785",15668859,"Efficacy and safety of weekly dalbavancin therapy for catheter-related bloodstream infection caused by gram-positive pathogens",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"786",15674914,"Antibiotics for acute pyelonephritis in children.",2005,0,0,"Study design (not RCT)","Review",NA,NA,NA
"787",15704358,"[Five days ceftibuten versus 10 days penicillin in the treatment of 2099 patients with A-streptococcal tonsillopharyngitis]",2001,0,1,"Resistance during f/u not included","",NA,NA,NA
"788",15705638,"Impact of an interdisciplinary strategy on antibiotic use: A prospective controlled study in three hospitals",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"789",15712100,"Levofloxacin for treatment of ventilator-associated pneumonia: a subgroup analysis from a randomized trial",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"790",15725048,"Once-daily azithromycin for 3 days compared with clarithromycin for 10 days for acute exacerbation of chronic bronchitis: a multicenter, double-blind, randomized study",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"791",15729064,"Survival benefit in critically ill burned patients receiving selective decontamination of the digestive tract: a randomized, placebo-controlled, double-blind trial",2005,0,1,"Resistance during f/u not included","There was no difference in the incidence of secondary endogenous pneumonia, which was invariably caused by MRSA and AGNB.","0","total duration of stay in ICU","60"
"792",15750103,"Effect of clarithromycin treatment on Chlamydia pneumoniae in vascular tissue of patients with coronary artery disease: a randomized, double-blind, placebo-controlled trial",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"793",15754197,"Antibiotic prophylaxis of early onset pneumonia in critically ill comatose patients. A randomized study",2005,1,1,"","six cases (three standard treatment, three ampicillin-sulbactam), the infections were caused by emergent multiresistant bacteria","0","3","1 year"
"794",15756271,"Optimisation of irinotecan dose in the treatment of patients with metastatic colorectal cancer after 5-FU failure: Results from a multinational, randomised phase II study",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"795",15762971,"Prospective randomized comparison of single-dose versus 1-day cefazolin for prophylaxis in gynecologic surgery",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"796",15764166,"Intermittent azithromycin treatment for respiratory symptoms in patients with chronic Chlamydia pneumoniae infection",2004,0,1,"Resistance during f/u not included","",NA,NA,NA
"797",15774257,"Prospective, randomized, multicentric, open, comparative study on the efficacy of a prophylactic single dose of 500 mg levofloxacin versus 1920 mg trimethoprim/sulfamethoxazole versus a control group in patients undergoing TUR of the prostate",2005,1,1,"","",NA,NA,NA
"798",15814044,"Comparative trial of short-course ofloxacin for uncomplicated typhoid fever in Vietnamese children",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"799",15821205,"Reappraisal of clindamycin IV monotherapy for treatment of mild-to-moderate aspiration pneumonia in elderly patients",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"800",15846719,"Antibiotic regimens for secondary peritonitis of gastrointestinal origin in adults.",2005,0,0,"Study design (not RCT)","Review",NA,NA,NA
"801",15846726,"Duration of antibacterial treatment for uncomplicated urinary tract infection in women.",2005,0,0,"Study design (not RCT)","All studies included ",NA,NA,NA
"802",15865549,"An open-label, randomized study comparing efficacy and safety of intravenous piperacillin/tazobactam and ampicillin/sulbactam for infected diabetic foot ulcers",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"803",15889218,"Prevention of surgical site infection after open prosthetic inguinal hernia repair: efficacy of parenteral versus oral prophylaxis with amoxicillin-clavulanic acid in a randomized clinical trial",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"804",15943731,"Optimum duration of prophylactic antibiotics in acute non-perforated appendicitis",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"805",15970833,"Timing of prophylactic antibiotic administration in the uninfected laboring gravida: A randomized clinical trial",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"806",15972728,"Response to antibiotics of women with symptoms of urinary tract infection but negative dipstick urine test results: double blind randomised controlled trial",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"807",16038522,"Treatment of childhood complicated community-acquired pneumonia with amoxicillin/sulbactam",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"808",16053194,"A comparison of two treatment regimens of ceftriaxone in late Lyme disease",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"809",16061709,"Comparison between pathogen directed antibiotic treatment and empirical broad spectrum antibiotic treatment in patients with community acquired pneumonia: a prospective randomised study",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"810",16075861,"Peritonsillar abscess: a comparison of outpatient i.m. clindamycin and inpatient i.v. ampicillin/sulbactam following needle aspiration",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"811",16117986,"A comparison of 5 days of therapy with cefdinir or azithromycin in children with acute otitis media: a multicenter, prospective, single-blind study",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"812",16166930,"Antibiotic prophylaxis in day surgery in dermatology",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"813",16189075,"Open-label randomized trial of oral trimethoprim-sulfamethoxazole, doxycycline, and chloramphenicol compared with trimethoprim-sulfamethoxazole and doxycycline for maintenance therapy of melioidosis",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"814",16216469,"Cefotaxime and ceftriaxone cerebrospinal fluid levels during treatment of bacterial meningitis in children",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"815",16235325,"Interventions to improve antibiotic prescribing practices in ambulatory care.",2005,0,0,"Study design (not RCT)","Review",NA,NA,NA
"816",16235326,"Interventions to improve antibiotic prescribing practices for hospital inpatients.",2005,0,0,"Study design (not RCT)","Review",NA,NA,NA
"817",16235397,"Prophylactic antibiotics to reduce morbidity and mortality in neonates with umbilical venous catheters.",2005,0,0,"Study design (not RCT)","Review",NA,NA,NA
"818",16267721,"Antibacterial chemoprophylaxis in the prevention of traveler's diarrhea: evaluation of poorly absorbed oral rifaximin",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"819",16281834,"[Efficacy of ciprofloxacine antibiotic prophylaxis of infectious complications after TUR of the prostate]",2005,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"820",16289514,"Linezolid reduces length of stay and duration of intravenous treatment compared with vancomycin for complicated skin and soft tissue infections due to suspected or proven methicillin-resistant Staphylococcus aureus (MRSA)",2005,0,0,"Outcome (not clinical efficacy)","",NA,NA,NA
"821",16326693,"Effective duration of antimicrobial therapy for the treatment of acute lobar nephronia",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"822",16343114,"The role of preoperative prophylactic antibiotic administration in periapical endodontic surgery: a randomized, prospective double-blind placebo-controlled study",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"823",16355320,"Use of broad-spectrum antimicrobials for the treatment of pneumonia in seriously ill patients: Maximizing clinical outcomes and minimizing selection of resistant organisms",2006,0,0,"Study design (not RCT)","",NA,NA,NA
"824",16362397,"Single-dose metronidazole vs 5-day multi-drug antibiotic regimen in excision of pilonidal sinuses with primary closure: A prospective, randomized, double-blinded pilot study",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"825",16369855,"Pre-emptive antibiotic treatment vs 'standard' treatment in patients with elevated serum procalcitonin levels after elective colorectal surgery: a prospective randomised pilot study",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"826",16392777,"Acute uncomplicated lower urinary tract infections in general practice: Clinical and microbiological cute rates after three- versus five-day treatment with trimethoprim",2005,1,1,"","",NA,NA,NA
"827",16433194,"Clinical efficacy and safety of a short regimen of azithromycin sequential therapy vs standard cefuroxime sequential therapy in the treatment of community-acquired pneumonia: an international, randomized, open-label study",2005,0,1,"Resistance during f/u not included","",NA,NA,NA
"828",16437344,"Randomized prospective study on prophylactic antibiotics in clean orthopedic surgery in one ward for 1 year",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"829",16447105,"Treatment of plague with gentamicin or doxycycline in a randomized clinical trial in Tanzania",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"830",16483435,"Use of prophylactic antibiotics in a paediatric day-case surgery at NAUTH, Nnewi, Nigeria: A randomized double-blinded study",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"831",16504492,"Moxifloxacin versus levofloxacin against acute exacerbations of chronic bronchitis: the Latin American Cohort",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"832",16517534,"Monotherapy with piperacillin/tazobactam versus cefepime as empirical therapy for febrile neutropenia in pediatric cancer patients: a randomized comparison",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"833",16569261,"Combination therapy versus monotherapy: A randomised pilot study on the evolution of inflammatory parameters after ventilator associated pneumonia [ISRCTN31976779]",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"834",16603606,"Procalcitonin guidance of antibiotic therapy in community-acquired pneumonia: a randomized trial",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"835",16627223,"Efficacy and safety of ertapenem versus piperacillin-tazobactam for the treatment of intra-abdominal infections requiring surgical intervention",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"836",16652311,"Reduction of urinary tract infection and antibiotic use after surgery: A controlled, prospective, before-after intervention study",2006,0,0,"Study design (not RCT)","",NA,NA,NA
"837",16730170,"Levofloxacin 750-mg for 5 days for the treatment of hospitalized Fine Risk Class III/IV community-acquired pneumonia patients",2006,0,0,"Study design (not RCT)","",NA,NA,NA
"838",16750618,"A double-blind randomized study of aminoglycoside infusion with combined therapy for pulmonary Mycobacterium avium complex disease",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"839",16760445,"Single-dose azithromycin for the treatment of cholera in adults",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"840",16763247,"Effectiveness of discontinuing antibiotic treatment after three days versus eight days in mild to moderate-severe community acquired pneumonia: randomised, double blind study",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"841",16816491,"Penicillin and gentamicin therapy vs amoxicillin/clavulanate in severe hypoxemic pneumonia",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"842",16855971,"Long-term antibiotics for preventing recurrent urinary tract infection in children.",2006,0,0,"Study design (not RCT)","Review",NA,NA,NA
"843",16856095,"Antibiotic prophylaxis for surgical introduction of intracranial ventricular shunts.",2006,0,0,"Study design (not RCT)","Review",NA,NA,NA
"844",16858182,"Randomized controlled trial of moxifloxacin compared with piperacillin-tazobactam and amoxicillin-clavulanate for the treatment of complicated intra-abdominal infections",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"845",16957901,"Impact of piperacillin resistance on the outcome of Pseudomonas ventilator-associated pneumonia",2006,0,0,"Study design (not RCT)","",NA,NA,NA
"846",17011409,"Randomized double-blind study comparing 7- and 10-day regimens of faropenem medoxomil with a 10-day cefuroxime axetil regimen for treatment of acute bacterial sinusitis",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"847",17030532,"Randomized controlled trial of 7-Day vs. 14-Day antibiotics for neonatal sepsis",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"848",17034608,"One week of ciprofloxacin before percutaneous nephrolithotomy significantly reduces upper tract infection and urosepsis: A prospective controlled study",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"849",17050564,"Clarithromycin in the treatment of RSV bronchiolitis: a double-blind, randomised, placebo-controlled trial",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"850",17060336,"Prophylactic antibiotics to prevent pneumonia and other complications after measles: community based randomised double blind placebo controlled trial in Guinea-Bissau",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"851",17127226,"A pilot study on prevention of catheter-related urinary tract infections with fluoroquinolones",2006,0,1,"Resistance during f/u not included","",NA,NA,NA
"852",17137468,"Does periodontal care improve glycemic control? The Department of Veterans Affairs Dental Diabetes Study",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"853",17164546,"A randomized controlled trial of enteral versus parenteral feeding in patients with predicted severe acute pancreatitis shows a significant reduction in mortality and in infected pancreatic complications with total enteral nutrition",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"854",17173219,"A randomized trial of the duration of therapy with metronidazole plus or minus azithromycin for treatment of symptomatic bacterial vaginosis",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"855",17189096,"Efficacy and safety of 3-day azithromycin versus 5-day moxifloxacin for the treatment of acute bacterial exacerbations of chronic bronchitis",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"856",17190130,"Peripheral venous catheter-related inflammation: A randomized prospective trial",2006,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"857",17197406,"The impact of oral disease and nonsurgical treatment on bacteremia in children",2007,0,0,"Study design (not RCT)","",NA,NA,NA
"858",17219539,"Pneumonia: 3 days of antibiotics for uncomplicated course",2006,0,0,"Study design (not RCT)","",NA,NA,NA
"859",17226906,"Efficacy of long term cyclic administration of the poorly absorbed antibiotic Rifaximin in symptomatic, uncomplicated colonic diverticular disease",2007,0,0,"Participants (not bacterial infection)","",NA,NA,NA
"860",17229548,"Prophylaxis versus pre-emptive treatment for infective and inflammatory complications of surgical third molar removal: a randomized, double-blind, placebo-controlled, clinical trial with sustained release amoxicillin/clavulanic acid (1000/62.5 mg)",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"861",17262041,"Randomized trial of percutaneous central venous lines versus peripheral intravenous lines",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"862",17288699,"Role for 5-day, once-daily extended-release clarithromycin in acute bacterial exacerbation of chronic bronchitis",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"863",17294169,"A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients",2007,1,1,"","The recurrence of positive urine culture at days 7 and 15 was not affected by the randomization (P_=_0.1). The profile of bacterial resistance was similar in the two groups.","0","3","15"
"864",17297383,"A randomized, double-blind study comparing single-dose rifalazil with single-dose azithromycin for the empirical treatment of nongonococcal urethritis in men",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"865",17328728,"Clinical and bacteriological outcomes in hospitalised patients with community-acquired pneumonia treated with azithromycin plus ceftriaxone, or ceftriaxone plus clarithromycin or erythromycin: a prospective, randomised, multicentre study",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"866",17329271,"Duration of antimicrobial prophylaxis in patients undergoing hepatectomy: a prospective randomized controlled trial using flomoxef",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"867",17330681,"Levofloxacin treatment in patients with rheumatoid arthritis receiving methotrexate",2007,0,0,"Participants (not bacterial infection)","",NA,NA,NA
"868",17335692,"Antibacterial prophylaxis in patients with neutropenia",2007,0,0,"Study design (not RCT)","Review",NA,NA,NA
"869",17354160,"Clinical and bacteriological outcome of different doses and duration of pivmecillinam compared with placebo therapy of uncomplicated lower urinary tract infection in women: the LUTIW project",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"870",17362810,"Moxifloxacin vs amoxicillin/clavulanate in the treatment of acute sinusitis",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"871",17366011,"High-dose ampicillin-sulbactam as an alternative treatment of late-onset VAP from multidrug-resistant Acinetobacter baumannii",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"872",17391383,"Three vs. 10 days of amoxycillin-clavulanic acid for type 1 acute exacerbations of chronic obstructive pulmonary disease: a randomised, double-blind study",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"873",17408924,"Single-dose and multi-dose clindamycin therapy fails to demonstrate efficacy in preventing infectious and inflammatory complications in third molar surgery",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"874",17443506,"Prolonged antibiotics for purulent bronchiectasis in children and adults",2007,0,0,"Study design (not RCT)","Review",NA,NA,NA
"875",17484870,"High-dose oral erythromycin decreased the incidence of parenteral nutrition-associated cholestasis in preterm infants",2007,1,1,"","There was also no significant increase in potential adverse effects associated with oral erythromycin treatment such as prolongation of QTc intervals, cardiac dysrhythmia, or emergence of a specific group of resistant organisms in the bowel flora.","","",""
"876",17506001,"Early treatment of severe pancreatitis with imipenem: a prospective randomized clinical trial",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"877",17514671,"Randomized clinical trial of single- versus multiple-dose antimicrobial prophylaxis in gastric cancer surgery",2007,0,1,"Resistance during f/u not included","Thirty_three of 47 surgical_site infections had a purulent discharge. Cultures were obtained from 33 of the 47 surgical sites. Pathogens were detected at 13 surgical sites. The bacteria isolated were Staphylococcus aureus (three in single_dose schedule, t","single dose","multiple dose (duration not specified)","6 weeks"
"878",17537866,"Gemifloxacin once daily for 5 days versus 7 days for the treatment of community-acquired pneumonia: a randomized, multicentre, double-blind study",2007,0,1,"Resistance during f/u not included","",NA,NA,NA
"879",17567657,"Comparison of oral amoxicillin and intravenous benzyl penicillin for community acquired pneumonia in children (PIVOT trial): a multicentre pragmatic randomised controlled equivalence trial",2007,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
