"","PMID","PUI","Title","Publication.Year"
"1668",22971864,NA,"Comparative study of effectiveness of oral acyclovir with oral erythromycin in the treatment of Pityriasis rosea",2012
"1669",22968615,NA,"[Clinical efficiency of cytokines in prophylactics and treatment of infectious and inflammatory complications after oral surgery procedures]",2012
"1671",22842177,NA,"A randomized comparative trial evaluating the safety and efficacy of liposomal amphotericin B (Fungisome) versus conventional amphotericin B in the empirical treatment of febrile neutropenia in India",2012
"1672",22738941,NA,"A comparative study of 3-week and 6-week duration of double-J stent placement in renal transplant recipients",2012
"1673",22476173,NA,"[Use of a rapid rotavirus test in prescription of antibiotics in acute diarrhea in pediatrics: an observational, randomized, controlled study]",2012
"1674",22378321,NA,"Perioperative antibiotic in adenoidectomy with partial tonsillectomy: a randomized trial",2012
"1675",22339708,NA,"Yellow brain culinary-medicinal mushroom, Tremella mesenterica Ritz.:Fr. (higher Basidiomycetes), is subjectively but not objectively effective for eradication of Helicobacter pylori: a prospective controlled trial",2012
"1676",22187440,NA,"Computerized extraction of electrocardiograms from continuous 12-lead holter recordings reduces measurement variability in a thorough QT study",2012
"1677",22169408,NA,"Efficacy and safety of moxifloxacin as antibacterial prophylaxis for patients receiving autologous haematopoietic stem cell transplantation: a randomised trial",2012
"1679",21895866,NA,"Ampicillin versus penicillin in the empiric therapy of extremely low-birthweight neonates at risk of early onset sepsis",2011
"1680",22105872,NA,"Dose of intravenous lipids and rate of bacterial clearance in preterm infants with blood stream infections",2012
"1681",22068326,NA,"Pharmacist interventions on antibiotic use in inpatients with respiratory tract infections in a Chinese hospital",2011
"1682",22078345,NA,"Efficacy of L-ornithine-L-aspartate as an adjuvant therapy in cirrhotic patients with hepatic encephalopathy",2011
"1683",22021072,NA,"Selective decontamination of the oral and digestive tract in surgical versus non-surgical patients in intensive care in a cluster-randomized trial",2012
"1684",22009525,NA,"Evaluation of the efficacy and safety of intravenous ciprofloxacin versus meropenem in the treatment of postoperative infection",2012
"1685",22147126,NA,"New ""introducer"" PEG-gastropexy with T fasteners: a pilot study",2011
"1686",21996070,NA,"A randomized trial of computer kiosk-expedited management of cystitis in the emergency department",2011
"1688",21928096,NA,"Prophylactic antibiotic use in elective inguinal hernioplasty in a trauma center",2012
"1689",21917733,NA,"Mycophenolate mofetil or tacrolimus compared with intravenous cyclophosphamide in the induction treatment for active lupus nephritis",2012
"1691",21871144,NA,"Probiotic lactobacilli and bifidobacteria in a fermented milk product with added fruit preparation reduce antibiotic associated diarrhea and Helicobacter pylori activity",2011
"1692",21871782,NA,"Are postoperative intravenous antibiotics necessary after bimaxillary orthognathic surgery? A prospective, randomized, double-blind, placebo-controlled clinical trial",2011
"1693",21992858,NA,"Vitamin D supplementation for severe pneumonia--a randomized controlled trial",2012
"1694",21816056,NA,"The ProPrems trial: investigating the effects of probiotics on late onset sepsis in very preterm infants",2011
"1695",21957667,NA,"Salovum egg yolk containing antisecretory factor as an adjunct therapy in severe cholera in adult males: a pilot study",2011
"1696",21765074,NA,"Ocular manifestations of candidemia",2011
"1698",21762268,NA,"Second-line Helicobacter pylori eradication: a randomized comparison of 1-week or 2-week bismuth-containing quadruple therapy",2011
"1699",22295386,NA,"Catheter drainage versus needle aspiration in management of large (>10 cm diameter) amoebic liver abscesses",2011
"1700",21507143,NA,"Procalcitonin guidance for reduction of antibiotic use in low-risk outpatients with community-acquired pneumonia",2011
"1701",21263371,NA,"Prevention of neonatal late-onset sepsis associated with the removal of percutaneously inserted central venous catheters in preterm infants",2011
"1702",21718522,NA,"Safety and efficacy of miltefosine alone and in combination with sodium stibogluconate and liposomal amphotericin B for the treatment of primary visceral leishmaniasis in East Africa: study protocol for a randomized controlled trial",2011
"1703",21829969,NA,"Antibiotic treatment schemes for very severe community-acquired pneumonia in children: a randomized clinical study",2011
"1704",21713025,NA,"The influence of reduced susceptibility to fluoroquinolones in Salmonella enterica serovar Typhi on the clinical response to ofloxacin therapy",2011
"1706",21570027,NA,"Intermittent catheterization with a hydrophilic-coated catheter delays urinary tract infections in acute spinal cord injury: a prospective, randomized, multicenter trial",2011
"1707",21524156,NA,"Piperacillin/tazobactam monotherapy versus piperacillin/tazobactam plus amikacin as initial empirical therapy for febrile neutropenia in children with acute leukemia",2011
"1708",21531174,NA,"Gatifloxacin versus chloramphenicol for uncomplicated enteric fever: an open-label, randomised, controlled trial",2011
"1710",21492416,NA,"Randomized placebo-controlled trial on azithromycin to reduce the morbidity of bronchiolitis in Indigenous Australian infants: rationale and protocol",2011
"1711",21492926,NA,"6-month versus 36-month isoniazid preventive treatment for tuberculosis in adults with HIV infection in Botswana: a randomised, double-blind, placebo-controlled trial",2011
"1712",21519084,NA,"Fixation techniques for non-union of the scaphoid",2011
"1715",21438131,NA,"Piperacillin/tazobactam versus cefozopran for the empirical treatment of pediatric cancer patients with febrile neutropenia",2011
"1716",21420908,NA,"Selective digestive tract decontamination and selective oropharyngeal decontamination and antibiotic resistance in patients in intensive-care units: an open-label, clustered group-randomised, crossover study",2011
"1717",21406101,NA,"Effect of corticosteroids on the clinical course of community-acquired pneumonia: a randomized controlled trial",2011
"1718",21600087,NA,"[A multi-center, randomized, controlled, double blind and double dummy clinical trial of antofloxacin hydrochloride tablet versus levofloxacin tablet for the treatment of acute bacterial infections]",2011
"1719",21319349,NA,"Efficacy of itraconazole prophylaxis for autologous stem cell transplantation in children with high-risk solid tumors: a prospective double-blind randomized study",2011
"1720",21307717,NA,"Dexamethasone therapy for septic arthritis in children: results of a randomized double-blind placebo-controlled study",2011
"1721",21315844,NA,"T-wave morphology abnormalities in benign, potent, and arrhythmogenic I(kr) inhibition",2011
"1722",21281407,NA,"Randomised, placebo-controlled trial to evaluate co-trimoxazole to reduce mortality and morbidity in HIV-infected post-natal women in Zambia (TOPAZ)",2011
"1723",21275593,NA,"Design and baseline data of a randomized trial to evaluate coverage and frequency of mass treatment with azithromycin: the Partnership for Rapid Elimination of Trachoma (PRET) in Tanzania and The Gambia",2011
"1724",21255828,NA,"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial",2011
"1725",22052139,NA,"Comparison of two regimens of RhG-CSF in neutropenic neonatal septicemia: a randomized clinical trial",2011
"1726",21267804,NA,"[Perioperative antibiotic prophylaxis in radical retropubic prostatectomy: a randomised pilot study of perioperative and postoperative administration]",2011
"1727",21143869,NA,"Neonatal Procalcitonin Intervention Study (NeoPInS): Effect of Procalcitonin-guided decision making on duration of antibiotic therapy in suspected neonatal early-onset sepsis: A multi-centre randomized superiority and non-inferiority Intervention Study",2010
"1728",20842069,NA,"Short- versus long-term antimicrobial treatment for acute hematogenous osteomyelitis of childhood: prospective, randomized trial on 131 culture-positive cases",2010
"1729",20942865,NA,"Addition of thalidomide to oral melphalan/prednisone in patients with multiple myeloma not eligible for transplantation: results of a randomized trial from the Turkish Myeloma Study Group",2011
"1730",20375919,NA,"Is there a benefit to drains with a Kocher-Langenbeck approach? A prospective randomized pilot study",2010
"1731",21049063,NA,"Paromomycin for the treatment of visceral leishmaniasis in Sudan: a randomized, open-label, dose-finding study",2010
"1732",20922415,NA,"Clinical efficacy of Saccharomyces boulardii or metronidazole in symptomatic children with Blastocystis hominis infection",2011
"1733",20461008,NA,"Protective effect of N-acetylcysteine on antituberculosis drug-induced hepatotoxicity",2010
"1734",20876410,NA,"Unintended effects of a computerized physician order entry nearly hard-stop alert to prevent a drug interaction: a randomized controlled trial",2010
"1735",20881443,NA,"Ketorolac plus tobramycin/dexamethasone versus tobramycin/dexamethasone after uneventful phacoemulsification surgery: a randomized controlled trial",2011
"1736",20863419,NA,"Bifidobacterium animalis subsp. lactis BB-12 in reducing the risk of infections in infancy",2011
"1737",20855397,NA,"Randomized controlled trial of day care versus hospital care of severe pneumonia in Bangladesh",2010
"1738",20716738,NA,"Effect of an implantable gentamicin-collagen sponge on sternal wound infections following cardiac surgery: a randomized trial",2010
"1739",20723187,NA,"Effects of vitamin D supplementation to children diagnosed with pneumonia in Kabul: a randomised controlled trial",2010
"1740",20655559,NA,"Optimal duration of prophylactic antibiotic administration for elective colon cancer surgery: A randomized, clinical trial",2011
"1741",20536364,NA,"Standard versus newer antibacterial agents in the treatment of severe acute exacerbation of chronic obstructive pulmonary disease: a randomized trial of trimethoprim-sulfamethoxazole versus ciprofloxacin",2010
"1742",20624812,NA,"Length of intravenous antibiotic therapy and treatment failure in infants with urinary tract infections",2010
"1743",20926017,NA,"Effect of local gentamicin application on healing and wound infection in patients with modified radical mastectomy: a prospective randomized study",2010
"1744",20489580,NA,"Randomized clinical study for comparative evaluation of fourth-generation fluoroquinolones with the combination of fortified antibiotics in the treatment of bacterial corneal ulcers",2010
"1745",20570319,NA,"One week of nitrofurantoin before percutaneous nephrolithotomy significantly reduces upper tract infection and urosepsis: a prospective controlled study",2011
"1746",20522788,NA,"Probiotic prophylaxis of ventilator-associated pneumonia: a blinded, randomized, controlled trial",2010
"1747",20594464,NA,"[The effect of early goal-directed therapy on treatment of critical patients with severe sepsis/septic shock: a multi-center, prospective, randomized, controlled study]",2010
"1748",20565316,NA,"Topical amphotericin B and subconjunctival injection of fluconazole (combination therapy) versus topical amphotericin B (monotherapy) in treatment of keratomycosis",2010
"1749",20557366,NA,"High efficacy of 14-day triple therapy-based, bismuth-containing quadruple therapy for initial Helicobacter pylori eradication",2010
"1750",20494927,NA,"Fluoroquinolones to treat uncomplicated acute cough in primary care: predictors for unjustified prescribing of antibiotics",2010
"1751",20466698,NA,"Antibiotics-impregnated ventricular catheter versus systemic antibiotics for prevention of nosocomial CSF and non-CSF infections: a prospective randomised clinical trial",2010
"1752",20446013,NA,"Impact of empiric antibiotic regimen on bowel colonization in neonates with suspected early onset sepsis",2010
"1753",20425851,NA,"The use of high resolution computerized tomography (HRCT) of the chest in evaluating the effect of tobramycin solution for inhalation in cystic fibrosis lung disease",2010
"1754",20427546,NA,"Piperacillin-tazobactam versus carbapenem therapy with and without amikacin as empirical treatment of febrile neutropenia in cancer patients: results of an open randomized trial at a university hospital",2010
"1755",20388644,NA,"Development and evaluation of an implementation strategy for the German guideline on community-acquired pneumonia",2010
"1756",20368815,NA,"Intermittent preventive treatment in infants for the prevention of malaria in rural Western kenya: a randomized, double-blind placebo-controlled trial",2010
"1757",21114174,NA,"Randomized, double-blind study on role of low level nitrogen laser therapy in treatment failure tubercular lymphadenopathy, sinuses and cold abscess",2010
"1758",20622383,NA,"Liposomal amphotericin B (Fungisome) for the treatment of cryptococcal meningitis in HIV/AIDS patients in India: a multicentric, randomized controlled trial",2010
"1759",20605590,NA,"Predictors of surgical site infection in laparoscopic and open ventral incisional herniorrhaphy",2010
"1761",20332194,NA,"Comparison of 48 h and 72 h of prophylactic antibiotic therapy in adult cardiac surgery: a randomized double blind controlled trial",2010
"1762",20299307,NA,"Long-term oral azithromycin in chronic plaque psoriasis: a controlled trial",2010
"1763",20227056,NA,"Efficacy and safety of linezolid versus vancomycin for the treatment of complicated skin and soft-tissue infections proven to be caused by methicillin-resistant Staphylococcus aureus",2010
"1765",21178422,NA,"Guidance of antibiotic therapy with procalcitonin in lower respiratory tract infections: insights into the ProHOSP study",2010
"1766",20209126,NA,"Duration of protection against clinical malaria provided by three regimens of intermittent preventive treatment in Tanzanian infants",2010
"1767",20207618,NA,"A randomized controlled trial to examine the efficacy and safety of a new super-oxidized solution for the management of wide postsurgical lesions of the diabetic foot",2010
"1769",20145608,NA,"Dose-response efficacy of a proprietary probiotic formula of Lactobacillus acidophilus CL1285 and Lactobacillus casei LBC80R for antibiotic-associated diarrhea and Clostridium difficile-associated diarrhea prophylaxis in adult patients",2010
"1770",20139218,NA,"Cost effectiveness of management strategies for urinary tract infections: results from randomised controlled trial",2010
"1771",20139214,NA,"Effectiveness of five different approaches in management of urinary tract infection: randomised controlled trial",2010
"1772",20137805,NA,"Antimicrobial treatment for early, limited Mycobacterium ulcerans infection: a randomised controlled trial",2010
"1773",20302588,NA,"Bismuth-containing quadruple therapy as second-line treatment for Helicobacter pylori infection: effect of treatment duration and antibiotic resistance on the eradication rate in Korea",2010
"1774",20097417,NA,"Use of procalcitonin to reduce patients' exposure to antibiotics in intensive care units (PRORATA trial): a multicentre randomised controlled trial",2010
"1775",20089970,NA,"Treatment with monoclonal antibodies against Clostridium difficile toxins",2010
"1776",20065047,NA,"Amphotericin B therapy in children with visceral leishmaniasis: daily vs. alternate day, a randomized trial",2010
"1777",21105351,NA,"[Assessment of the effectiveness of sinuforte used for the combined treatment of rhinosinusitis and exudative otitis media in children]",2010
"1778",20558918,NA,"Antibiotic prophylaxis in transcatheter treatment of hepatocellular carcinoma: an open randomized prospective study of oral versus intravenous administration",2010
"1779",20538079,NA,"Prophylactic antibiotics in open mesh repair of inguinal hernia - a randomized controlled trial",2010
"1780",20065568,NA,"Short-duration furazolidone therapy in combination with amoxicillin, bismuth subcitrate, and omeprazole for eradication of Helicobacter pylori",2010
"1781",20039090,NA,"Effectiveness of a procalcitonin algorithm to guide antibiotic therapy in respiratory tract infections outside of study conditions: a post-study survey",2010
"1782",20007996,NA,"Pegfilgrastim versus filgrastim after high-dose chemotherapy and autologous peripheral blood stem cell support",2010
"1783",19996339,NA,"Treatment of early Pseudomonas aeruginosa infection in patients with cystic fibrosis: the ELITE trial",2010
"1784",19965813,NA,"Efficacy of a 6-month versus 9-month intermittent treatment regimen in HIV-infected patients with tuberculosis: a randomized clinical trial",2010
"1785",20922911,NA,"Levofloxacin prophylaxis to prevent bacterial infection in chemotherapy-induced neutropenia in acute leukemia",2009
"1786",19926166,NA,"Routine antibiotic use in preterm neonates: a randomised controlled trial",2010
"1787",20108552,NA,"Chlorhexidine gluconate 0.02% as adjunct to primary treatment for corneal bacterial ulcers",2009
"1788",19846355,NA,"Efficacy of four different moxifloxacin-based triple therapies for first-line H. pylori treatment",2010
"1789",19849767,NA,"Rapid relief of acute sore throat with AMC/DCBA throat lozenges: randomised controlled trial",2010
"1790",19832720,NA,"Piperacillin/tazobactam versus imipenem/cilastatin for severe diabetic foot infections: a prospective, randomized clinical trial in a university hospital",2010
"1791",19564812,NA,"Efficacy of injectable trivalent virosomal-adjuvanted inactivated influenza vaccine in preventing acute otitis media in children with recurrent complicated or noncomplicated acute otitis media",2009
"1792",19484759,NA,"Piperacillin/tazobactam versus cefepime for the empirical treatment of pediatric cancer patients with neutropenia and fever: a randomized and open-label study",2009
"1793",19797133,NA,"Procalcitonin for reduced antibiotic exposure in ventilator-associated pneumonia: a randomised study",2009
"1794",19776651,NA,"Use of procalcitonin-guided decision-making to shorten antibiotic therapy in suspected neonatal early-onset sepsis: prospective randomized intervention trial",2010
"1795",19768381,NA,"Efficacy and safety of sequential intravenous/oral moxifloxacin vs intravenous/oral amoxicillin/clavulanate for complicated skin and skin structure infections",2009
"1796",19663597,NA,"Short-course paromomycin treatment of visceral leishmaniasis in India: 14-day vs 21-day treatment",2009
"1797",19738090,NA,"Effect of procalcitonin-based guidelines vs standard guidelines on antibiotic use in lower respiratory tract infections: the ProHOSP randomized controlled trial",2009
"1798",19744230,NA,"Imipenem-cilastatin versus piperacillin-tazobactam as monotherapy in febrile neutropenia",2010
"1800",19583518,NA,"Long-term Escherichia coli asymptomatic bacteriuria among women with diabetes mellitus",2009
"1801",19667282,NA,"Prospective randomized trial of six-month versus nine-month therapy for intestinal tuberculosis",2009
"1802",19802403,NA,"[Treatment of urinary tract infections in febrile infants: experience of outpatient intravenous antibiotic treatment]",2009
"1803",19707579,NA,"The effect of alternative graphical displays used to present the benefits of antibiotics for sore throat on decisions about whether to seek treatment: a randomized trial",2009
"1804",19673983,NA,"A controlled clinical trial of a therapeutic bacteriophage preparation in chronic otitis due to antibiotic-resistant Pseudomonas aeruginosa; a preliminary report of efficacy",2009
"1805",20015788,NA,"A randomized prospective study of oral levofloxacin vs intravenous flomoxef prophylaxis in postoperative infection after endoscopic sinus surgery",2010
"1806",19651563,NA,"Probiotic effects on cold and influenza-like symptom incidence and duration in children",2009
"1807",19678579,NA,"Empirical antimicrobial therapy of acute dentoalveolar abscess",2009
"1808",19528154,NA,"Reduced susceptibility to amoxicillin of oral streptococci following amoxicillin exposure",2009
"1809",19525519,NA,"Safety and tolerability of sirolimus treatment in patients with autosomal dominant polycystic kidney disease",2009
"1810",19478257,NA,"Clinical efficacy of Saccharomyces boulardii and metronidazole compared to metronidazole alone in children with acute bloody diarrhea caused by amebiasis: a prospective, randomized, open label study",2009
"1811",19482956,NA,"A randomized trial of dental brushing for preventing ventilator-associated pneumonia",2009
"1812",19578229,NA,"Single dose azithromycin versus ciprofloxacin for cholera in children: a randomized controlled trial",2010
"1813",19451282,NA,"Pharmacokinetics of EDP-420 after multiple oral doses in healthy adult volunteers and in a bioequivalence study",2009
"1814",19907956,NA,"Comparative study of catheter drainage and needle aspiration in management of large liver abscesses",2009
"1815",19817264,NA,"Efficacy and safety of Saccharomyces boulardii in amebiasis-associated diarrhea in children",2009
"1817",19281327,NA,"Empirical versus preemptive antifungal therapy for high-risk, febrile, neutropenic patients: a randomized, controlled trial",2009
"1818",19345831,NA,"Moxifloxacin versus ethambutol in the initial treatment of tuberculosis: a double-blind, randomised, controlled phase II trial",2009
"1819",19346292,NA,"Economic impact of caspofungin as compared with liposomal amphotericin B for empirical therapy in febrile neutropenia in Australia",2009
"1820",19597646,NA,"Cefepime monotherapy is as effective as ceftriaxone plus amikacin in pediatric patients with cancer and high-risk febrile neutropenia in a randomized comparison",2009
"1821",19182682,NA,"Predictors of long-term outcome of functional dyspepsia and duodenal ulcer after successful Helicobacter pylori eradication--a 7-year follow-up study",2009
"1822",19017277,NA,"Safe conversion of mycophenolate mofetil to azathioprine in kidney transplant recipients with sirolimus-based immunosuppression",2009
"1823",19277796,NA,"Conservative management of acute appendicitis",2009
"1824",19416298,NA,"Antibiotic treatment interruption of suspected lower respiratory tract infections based on a single procalcitonin measurement at hospital admission--a randomized trial",2009
"1825",19576090,NA,"[The value of serum procalcitonin in treatment of community acquired pneumonia in outpatient]",2009
"1826",19278583,NA,"[Clinical effects of ulinastatin and thymosin alpha1 on immune-modulation in septic patients]",2009
"1827",19254119,NA,"Amoxicillin and metronidazole as an adjunct to full-mouth scaling and root planing of chronic periodontitis",2009
"1828",19222929,NA,"The outcome of non-typhoidal salmonella meningitis in Malawian children, 1997-2006",2009
"1829",18813028,NA,"Efficacy of high-dose Lactobacillus rhamnosus GG in controlling acute watery diarrhea in Indian children: a randomized controlled trial",2009
"1830",19223626,NA,"Pharmacokinetics of EDP-420 after ascending single oral doses in healthy adult volunteers",2009
"1831",19808441,NA,"Efficacy of antibiotic prophylaxis before the implantation of pacemakers and cardioverter-defibrillators: results of a large, prospective, randomized, double-blinded, placebo-controlled trial",2009
"1832",19191893,NA,"Helicobacter pylori eradication therapy success regarding different treatment period based on clarithromycin or metronidazole triple-therapy regimens",2009
"1833",19997797,NA,"Short-term intravenous antimicrobial prophylaxis in combination with preoperative oral antibiotics on surgical site infection and methicillin-resistant Staphylococcus aureus infection in elective colon cancer surgery: results of a prospective randomized trial",2009
"1834",19565809,NA,"[Roncoleukin in enhancing the efficiency of complex therapy for infiltrative pulmonary tuberculosis in adolescents]",2009
"1835",19493352,NA,"Procalcitonin to guide duration of antibiotic therapy in intensive care patients: a randomized prospective controlled trial",2009
"1836",19334486,NA,"[Treatment of gastric ulcer associated with Helicobacter pylori with ronkoleukine under outpatient conditions]",2009
"1837",19321405,NA,"Local antibiotics are equivalent to intravenous antibiotics in the prevention of superficial wound infection in inguinal hernioplasty",2009
"1838",19149978,NA,"Effects of Ivermectin with and without doxycycline on clinical symptoms of onchocerciasis",2009
"1839",19118302,NA,"Decontamination of the digestive tract and oropharynx in ICU patients",2009
"1840",19025972,NA,"Treatment of myelodysplastic syndrome with 2 schedules and doses of oral topotecan: a randomized phase 2 trial by the Cancer and Leukemia Group B (CALGB 19803)",2009
"1841",19117731,NA,"Efficacy of teicoplanin for the prevention of surgical site infections after total hip or knee arthroplasty: a prospective, open-label study",2009
"1842",19144094,NA,"Outcomes of antifungal prophylaxis in high-risk liver transplant recipients",2009
"1844",19095403,NA,"C-reactive protein testing does not decrease antibiotic use for acute cough illness when compared to a clinical algorithm",2011
"1845",19268266,NA,"Oral diosmectite reduces stool output and diarrhea duration in children with acute watery diarrhea",2009
"1846",19166424,NA,"Failure of Helicobacter pylori treatment after regimes containing clarithromycin: new practical therapeutic options",2008
"1848",19114201,NA,"Comparative study of single-dose and 24-hour multiple-dose antibiotic prophylaxis for cardiac surgery",2008
"1849",19047976,NA,"Helicobacter pylori eradication: metronidazole or tinidazole? Data from Turin, Italy",2008
"1850",19022007,NA,"Prophylactic low-energy shock wave therapy improves wound healing after vein harvesting for coronary artery bypass graft surgery: a prospective, randomized trial",2008
"1851",18661495,NA,"A prospective, randomized study comparing cefozopran with piperacillin-tazobactam plus ceftazidime as empirical therapy for febrile neutropenia in children with hematological disorders",2008
"1852",19034493,NA,"Procalcitonin (PCT)-guided algorithm reduces length of antibiotic treatment in surgical intensive care patients with severe sepsis: results of a prospective randomized study",2009
"1853",19001450,NA,"Cost-effectiveness evaluation of voriconazole versus liposomal amphotericin B as empirical therapy for febrile neutropenia in Australia",2009
"1854",18990531,NA,"Safety and efficacy of intravenous tigecycline in treatment of community-acquired pneumonia: results from a double-blind randomized phase 3 comparison study with levofloxacin",2009
"1855",18974025,NA,"Second-line levofloxacin-based triple schemes for Helicobacter pylori eradication",2009
"1856",18945594,NA,"Safety and tolerability of ertapenem versus ceftriaxone in a double-blind study performed in children with complicated urinary tract infection, community-acquired pneumonia or skin and soft-tissue infection",2009
"1857",18781879,NA,"New treatment approach in Indian visceral leishmaniasis: single-dose liposomal amphotericin B followed by short-course oral miltefosine",2008
"1858",18838727,NA,"The effect of a quality improvement collaborative to improve antimicrobial prophylaxis in surgical patients: a randomized trial",2008
"1859",18789466,NA,"Impact of anti-Giardia and anthelminthic treatment on infant growth and intestinal permeability in rural Bangladesh: a randomised double-blind controlled study",2009
"1860",18828055,NA,"Comparison of ceftriaxone versus triple drug regimen in the prevention of cesarean section infectious morbidities",2008
"1861",18545212,NA,"Nasal lavage with mupirocin for the treatment of surgically recalcitrant chronic rhinosinusitis",2008
"1862",18719064,NA,"Early microbiological response to linezolid vs vancomycin in ventilator-associated pneumonia due to methicillin-resistant Staphylococcus aureus",2008
"1863",18756344,NA,"Pentoxifylline as an adjuvant to surgery and antibiotics in the treatment of perforation peritonitis: a prospective, randomised placebo-controlled study",2008
"1864",18676693,NA,"In vitro and clinical investigation of the relationship between CCR5 receptor occupancy and anti-HIV activity of Aplaviroc",2008
"1865",18665826,NA,"Cost benefit and clinical efficacy of low-dose granulocyte colony-stimulating factor after standard chemotherapy in patients with non-Hodgkin's lymphoma",2008
"1866",18663500,NA,"Clinical and microbiological efficacy of moxifloxacin versus amoxicillin/clavulanic acid in severe odontogenic abscesses: a pilot study",2009
"1867",18662172,NA,"A pilot study of high-dose short duration daptomycin for the treatment of patients with complicated skin and skin structure infections caused by gram-positive bacteria",2008
"1868",18635341,NA,"Linezolid for the treatment of infections caused by Gram-positive pathogens in China",2008
"1869",18570129,NA,"Labor as a bacteriuric event--assessment and risk factors",2008
"1870",18505387,NA,"High-dose amphotericin B with flucytosine for the treatment of cryptococcal meningitis in HIV-infected patients: a randomized trial",2008
"1871",18557720,NA,"Phase 1 dose-escalation study of CP-690 550 in stable renal allograft recipients: preliminary findings of safety, tolerability, effects on lymphocyte subsets and pharmacokinetics",2008
"1872",18565598,NA,"Tube associated otorrhea in children with recurrent acute otitis media; results of a prospective randomized study on bacteriology and topical treatment with or without systemic antibiotics",2008
"1873",18541739,NA,"Bacteremia associated with toothbrushing and dental extraction",2008
"1874",18518694,NA,"Clinical and economic consequences of antibiotic-impregnated cerebrospinal fluid shunt catheters",2008
"1875",18484473,NA,"Piperacillin/tazobactam plus amikacin versus carbapenem monotherapy as empirical treatment of febrile neutropenia in childhood hematological malignancies",2008
"1876",18463831,NA,"[Antibiotic treatment of surgical intensive care patients: procalcitonin to guide duration of therapy]",2008
"1877",18661264,NA,"Preoperative disinfection of the conjunctival sac with antibiotics and iodine compounds: a prospective randomized multicenter study",2008
"1878",18435857,NA,"The effect of using an interactive booklet on childhood respiratory tract infections in consultations: study protocol for a cluster randomised controlled trial in primary care",2008
"1879",18444850,NA,"Effect of clarithromycin in patients with sepsis and ventilator-associated pneumonia",2008
"1880",18473097,NA,"A randomized trial of ceftriaxone versus trimethoprim-sulfamethoxazole to prevent ventriculoperitoneal shunt infection",2008
"1881",18444817,NA,"Timing of antibiotic prophylaxis for primary total knee arthroplasty performed during ischemia",2008
"1882",18379232,NA,"Efficacy and safety of intravenous infusion of doripenem versus imipenem in ventilator-associated pneumonia: a multicenter, randomized study",2008
"1883",18461894,NA,"[Less ventilator-associated pneumonia after oral decontamination with chlorhexidine; a randomised trial]",2008
"1885",18359423,NA,"Correlates of clinical failure in ventilator-associated pneumonia: insights from a large, randomized trial",2008
"1886",18359417,NA,"Ventilator-associated pneumonia caused by multidrug-resistant organisms or Pseudomonas aeruginosa: prevalence, incidence, risk factors, and outcomes",2008
"1887",18310867,NA,"Is antibiotic usage necessary after donor nephrectomy? A single center experience",2008
"1888",18091545,NA,"Randomized trial of combination versus monotherapy for the empiric treatment of suspected ventilator-associated pneumonia",2008
"1889",18270575,NA,"A randomized controlled trial of glucose versus amylase resistant starch hypo-osmolar oral rehydration solution for adult acute dehydrating diarrhea",2008
"1890",18307851,NA,"Predicting the duration of symptoms in lower respiratory tract infection",2008
"1891",18085694,NA,"Azithromycin does not improve disease course in hospitalized infants with respiratory syncytial virus (RSV) lower respiratory tract disease: a randomized equivalence trial",2008
"1892",18231720,NA,"Moxifloxacin vs ampicillin/sulbactam in aspiration pneumonia and primary lung abscess",2008
"1893",18191521,NA,"[Impact on renal function of an early switch from conventional to liposomal amphotericin B formulation in the empirical treatment of fungal infections]",2008
"1894",18184631,NA,"Zinc supplementation in children with cholera in Bangladesh: randomised controlled trial",2008
"1895",18701826,NA,"Bifidobacterium longum PL03, Lactobacillus rhamnosus KL53A, and Lactobacillus plantarum PL02 in the prevention of antibiotic-associated diarrhea in children: a randomized controlled pilot trial",2008
"1896",18454864,NA,"Antimicrobial treatment for ventilator-associated tracheobronchitis: a randomized, controlled, multicenter study",2008
"1897",18186979,NA,"Efficacy and safety of cefepime in late-onset ventilator-associated pneumonia in infants: a pilot randomized and controlled study",2008
"1898",18096708,NA,"Use of procalcitonin to shorten antibiotic treatment duration in septic patients: a randomized trial",2008
"1899",18093254,NA,"Pyrazinamide blood concentrations in children suffering from tuberculosis: a comparative study at two doses",2008
"1900",17941026,NA,"Liposomal amphotericin B in combination with caspofungin for invasive aspergillosis in patients with hematologic malignancies: a randomized pilot study (Combistrat trial)",2007
"1901",18086218,NA,"Effects of feeding probiotics during weaning on infections and antibody responses to diphtheria, tetanus and Hib vaccines",2008
"1902",18056902,NA,"Antibiotics and topical nasal steroid for treatment of acute maxillary sinusitis: a randomized controlled trial",2007
"1903",18060746,NA,"Ciprofloxacin and furagin in acute cystitis: comparison of early immune and microbiological results",2008
"1904",18043456,NA,"Bacterial characteristics as predictors of posttherapy recurrent bacteriuria among children with acute uncomplicated cystitis caused by Escherichia coli",2007
"1905",17980093,NA,"Efficacy and tolerability of a combined moxifloxacin/dexamethasone formulation for topical prophylaxis and reduction of inflammation in phacoemulsification: a comparative, double masked clinical trial",2007
"1906",18063874,NA,"Cost-benefit assessment of antifungal prophylaxis with liposomal amphotericin B in neutropenic patients",2007
"1907",18034998,NA,"The cardiovascular safety profile of renzapride, a novel treatment for irritable bowel syndrome",2007
